,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1092,Audi A6,13,Comprehensive,Diesel,5,69000,First Owner,Automatic,2013,17,1968,1968.0,17433.0,14.5
1093,Maruti Baleno,18,Comprehensive,Petrol,5,98000,First Owner,Manual,2018,21,1197,1197.0,8180.0,6.0
1094,Hyundai Venue,20,Zero Dep,Petrol,5,790000,First Owner,Automatic,2020,18,998,998.0,11835.0,9.75
1095,Honda Jazz,19,Zero Dep,Petrol,5,55000,First Owner,Automatic,2019,18,1199,1199.0,887.0,7.5
1096,Toyota Etios,15,Zero Dep,Diesel,5,104000,First Owner,Manual,2015,23,1364,1364.0,6705.0,5.25
1097,Maruti Alto,19,Zero Dep,Petrol,5,57647,First Owner,Manual,2019,24,796,796.0,473.0,3.52
1098,Hyundai Grand,17,Third Party insurance,Petrol,5,76125,Second Owner,Manual,2017,18,1197,1197.0,8186.0,4.4
1099,Maruti Swift,17,Third Party,Diesel,5,94857,First Owner,Manual,2017,28,1248,1248.0,7402.0,6.06
1100,Honda Amaze,16,Comprehensive,Petrol,5,51499,First Owner,Manual,2016,18,1198,1198.0,867.0,4.96
1101,Mahindra XUV700,23,Comprehensive,Diesel,7,22468,First Owner,Automatic,2023,2198,18238,18238.0,450.0,22.0
1102,Maruti Celerio,16,Zero Dep,Petrol,5,123186,First Owner,Manual,2016,25,998,998.0,6571.0,3.68
1103,Maruti Wagon,21,Comprehensive,Petrol,5,20000,First Owner,Automatic,2021,21,998,998.0,6705.0,6.1
1104,Hyundai i20,16,Zero Dep,Petrol,5,74661,First Owner,Manual,2015,18,1197,1197.0,8183.0,5.45
1105,Maruti Swift,12,Comprehensive,Diesel,5,50018,First Owner,Manual,2012,22,1248,1248.0,74.0,4.2
1106,Hyundai i20,19,Third Party,Petrol,5,38000,First Owner,Manual,2019,18,1197,1197.0,8183.0,5.6
1107,Maruti Baleno,21,Zero Dep,Petrol,5,11971,First Owner,Manual,2021,21,1197,1197.0,8180.0,7.55
1108,Fiat Punto,,Third Party insurance,Diesel,5,80000,Third Owner,Manual,2010,20,1248,1248.0,75.0,1.0
1109,Hyundai i20,14,Comprehensive,Petrol,5,64000,First Owner,Manual,2014,18,1197,1197.0,8183.0,5.5
1110,Maruti Baleno,17,Comprehensive,Petrol,5,37000,First Owner,Manual,2017,1197,831,831.0,115.0,5.05
1111,Hyundai i20,15,Comprehensive,Diesel,5,92000,First Owner,Manual,2015,22,1396,1396.0,8873.0,5.95
1112,Maruti Alto,19,Comprehensive,Petrol,5,70000,Second Owner,Manual,2019,23,998,998.0,6705.0,3.4
